exp_id,режим,очередь,воркеры,медиана (50),95-й перцентиль,99-й перцентиль,кол-во задач,кол-во итераций
exp_254983,eventlet,cumulative,2,1.7231,2.7065,2.7398,4535,20
exp_254983,eventlet,schedule,2,1.6989,2.3332,2.3545,2400,20
exp_254983,eventlet,cumulative,4,1.726,3.7153,3.7778,8193,20
exp_254983,eventlet,schedule,4,1.7331,3.0602,3.1209,4800,20
exp_254983,eventlet,cumulative,8,2.7801,8.0049,8.1939,11022,20
exp_254983,eventlet,schedule,8,2.2936,5.735,6.5069,9600,20
exp_254983,gevent,cumulative,2,1.7141,2.7262,2.7517,4535,20
exp_254983,gevent,schedule,2,1.7015,2.3341,2.3476,2400,20
exp_254983,gevent,cumulative,4,1.7173,3.7213,3.76,8229,20
exp_254983,gevent,schedule,4,1.7273,3.0543,3.0928,4800,20
exp_254983,gevent,cumulative,8,2.7608,7.847,8.1947,11050,20
exp_254983,gevent,schedule,8,2.3544,5.7155,6.4418,9600,20
